case:concept:name,concept:name,time:timestamp,a,b,i,n,result,temp
case_1,T_Setup,2026-02-09T11:12:00.000Z,0,1,1,7,0,0
case_1,T_CheckLoop,2026-02-09T11:13:00.000Z,,,,,,
case_1,T_CalcTemp,2026-02-09T11:14:00.000Z,,,,,,1
case_1,T_SetA,2026-02-09T11:15:00.000Z,1,,,,,
case_1,T_SetB,2026-02-09T11:16:00.000Z,,,,,,
case_1,T_IncI,2026-02-09T11:17:00.000Z,,,2,,,
case_1,T_CheckLoop,2026-02-09T11:18:00.000Z,,,,,,
case_1,T_CalcTemp,2026-02-09T11:19:00.000Z,,,,,,2
case_1,T_SetA,2026-02-09T11:20:00.000Z,,,,,,
case_1,T_SetB,2026-02-09T11:21:00.000Z,,2,,,,
case_1,T_IncI,2026-02-09T11:22:00.000Z,,,3,,,
case_1,T_CheckLoop,2026-02-09T11:23:00.000Z,,,,,,
case_1,T_CalcTemp,2026-02-09T11:24:00.000Z,,,,,,3
case_1,T_SetA,2026-02-09T11:25:00.000Z,2,,,,,
case_1,T_SetB,2026-02-09T11:26:00.000Z,,3,,,,
case_1,T_IncI,2026-02-09T11:27:00.000Z,,,4,,,
case_1,T_CheckLoop,2026-02-09T11:28:00.000Z,,,,,,
case_1,T_CalcTemp,2026-02-09T11:29:00.000Z,,,,,,5
case_1,T_SetA,2026-02-09T11:30:00.000Z,3,,,,,
case_1,T_SetB,2026-02-09T11:31:00.000Z,,5,,,,
case_1,T_IncI,2026-02-09T11:32:00.000Z,,,5,,,
case_1,T_CheckLoop,2026-02-09T11:33:00.000Z,,,,,,
case_1,T_CalcTemp,2026-02-09T11:34:00.000Z,,,,,,8
case_1,T_SetA,2026-02-09T11:35:00.000Z,5,,,,,
case_1,T_SetB,2026-02-09T11:36:00.000Z,,8,,,,
case_1,T_IncI,2026-02-09T11:37:00.000Z,,,6,,,
case_1,T_CheckLoop,2026-02-09T11:38:00.000Z,,,,,,
case_1,T_CalcTemp,2026-02-09T11:39:00.000Z,,,,,,13
case_1,T_SetA,2026-02-09T11:40:00.000Z,8,,,,,
case_1,T_SetB,2026-02-09T11:41:00.000Z,,13,,,,
case_1,T_IncI,2026-02-09T11:42:00.000Z,,,7,,,
case_1,T_CheckDone,2026-02-09T11:43:00.000Z,,,,,13,
case_2,T_Setup,2026-02-09T11:45:00.000Z,0,1,1,7,0,0
case_2,T_CheckLoop,2026-02-09T11:46:00.000Z,,,,,,
case_2,T_CalcTemp,2026-02-09T11:47:00.000Z,,,,,,1
case_2,T_SetA,2026-02-09T11:48:00.000Z,1,,,,,
case_2,T_SetB,2026-02-09T11:49:00.000Z,,,,,,
case_2,T_IncI,2026-02-09T11:50:00.000Z,,,2,,,
case_2,T_CheckLoop,2026-02-09T11:51:00.000Z,,,,,,
case_2,T_CalcTemp,2026-02-09T11:52:00.000Z,,,,,,2
case_2,T_SetA,2026-02-09T11:53:00.000Z,,,,,,
case_2,T_SetB,2026-02-09T11:54:00.000Z,,2,,,,
case_2,T_IncI,2026-02-09T11:55:00.000Z,,,3,,,
case_2,T_CheckLoop,2026-02-09T11:56:00.000Z,,,,,,
case_2,T_CalcTemp,2026-02-09T11:57:00.000Z,,,,,,3
case_2,T_SetA,2026-02-09T11:58:00.000Z,2,,,,,
case_2,T_SetB,2026-02-09T11:59:00.000Z,,3,,,,
case_2,T_IncI,2026-02-09T12:00:00.000Z,,,4,,,
case_2,T_CheckLoop,2026-02-09T12:01:00.000Z,,,,,,
case_2,T_CalcTemp,2026-02-09T12:02:00.000Z,,,,,,5
case_2,T_SetA,2026-02-09T12:03:00.000Z,3,,,,,
case_2,T_SetB,2026-02-09T12:04:00.000Z,,5,,,,
case_2,T_IncI,2026-02-09T12:05:00.000Z,,,5,,,
case_2,T_CheckLoop,2026-02-09T12:06:00.000Z,,,,,,
case_2,T_CalcTemp,2026-02-09T12:07:00.000Z,,,,,,8
case_2,T_SetA,2026-02-09T12:08:00.000Z,5,,,,,
case_2,T_SetB,2026-02-09T12:09:00.000Z,,8,,,,
case_2,T_IncI,2026-02-09T12:10:00.000Z,,,6,,,
case_2,T_CheckLoop,2026-02-09T12:11:00.000Z,,,,,,
case_2,T_CalcTemp,2026-02-09T12:12:00.000Z,,,,,,13
case_2,T_SetA,2026-02-09T12:13:00.000Z,8,,,,,
case_2,T_SetB,2026-02-09T12:14:00.000Z,,13,,,,
case_2,T_IncI,2026-02-09T12:15:00.000Z,,,7,,,
case_2,T_CheckDone,2026-02-09T12:16:00.000Z,,,,,13,
case_3,T_Setup,2026-02-09T12:18:00.000Z,0,1,1,7,0,0
case_3,T_CheckLoop,2026-02-09T12:19:00.000Z,,,,,,
case_3,T_CalcTemp,2026-02-09T12:20:00.000Z,,,,,,1
case_3,T_SetA,2026-02-09T12:21:00.000Z,1,,,,,
case_3,T_SetB,2026-02-09T12:22:00.000Z,,,,,,
case_3,T_IncI,2026-02-09T12:23:00.000Z,,,2,,,
